person_name,image_num,mask_status
AdrianDunbar, 1, mask
AdrianDunbar, 2, no-mask
AdrianDunbar, 3, mask
AdrianDunbar, 4, no-mask
AhmadAli, 1, mask
AhmadAli, 2, no-mask
AhmadAli, 3, mask
AhmadAli, 4, mask
AhmadAli, 5, no-mask
ArifAlvi, 1, mask
ArifAlvi, 2, mask
ArifAlvi, 3, no-mask
ArifAlvi, 4, no-mask
BellaHadid, 1, mask
BellaHadid, 2, no-mask
BellaHadid, 3, mask
BenAffleck, 1, mask
BenAffleck, 2, mask
BenAffleck, 3, no-mask
BenAffleck, 4, mask
BenAffleck, 5, mask
BenAffleck, 6, mask
BenAffleck, 7, no-mask
BrianKemp, 1, no-mask
BrianKemp, 2, mask
BrianKemp, 3, mask
BrianKemp, 4, mask
BrianKemp, 5, no-mask
BrodyJenner, 1, no-mask
BrodyJenner, 2, mask
CarrieLam, 1, mask
CarrieLam, 2, mask
CarrieLam, 3, mask
CarrieLam, 4, no-mask
CarrieLam, 5, mask
CarrieLam, 6, no-mask
CharlieBaker, 1, no-mask
CharlieBaker, 2, no-mask
CharlieBaker, 3, mask
CharlieBaker, 4, mask
CharlieBaker, 5, mask
CharlieBaker, 6, mask
CharlieBaker, 7, mask
DennyTamaki, 1, mask
DennyTamaki, 2, mask
DennyTamaki, 3, mask
DennyTamaki, 4, mask
DennyTamaki, 5, mask
DennyTamaki, 6, mask
DennyTamaki, 7, no-mask
DennyTamaki, 8, no-mask
DonnellRawlings, 1, no-mask
DonnellRawlings, 2, mask
DougDucey, 1, mask
DougDucey, 2, no-mask
DougDucey, 3, mask
DougDucey, 4, mask
DougDucey, 5, no-mask
DougDucey, 6, mask
EmmanuelMacron, 1, no-mask
EmmanuelMacron, 2, mask
EmmanuelMacron, 3, mask
EmmanuelMacron, 4, no-mask
EmmanuelMacron, 5, mask
EmmanuelMacron, 6, mask
EricGarcetti, 1, mask
EricGarcetti, 2, no-mask
EricGarcetti, 3, mask
